Category,Task,Assignee,Priority,Status,ETA,Notes
Visa/Immigration,Submit L1 visa application,Maor,High,Done,2026-01-15,Through company lawyer
Visa/Immigration,Schedule visa interview at US consulate,Maor,High,Done,2026-02-01,Tel Aviv consulate
Visa/Immigration,Get L2 visa for Omer,Omer,High,In Progress,2026-03-20,Dependent visa
Visa/Immigration,Get passports updated for kids,Omer,High,Done,2026-01-20,Guy and Dani
Visa/Immigration,Obtain SSN after arrival,Maor,Medium,Not Started,2026-05-15,Apply at local SSA office
Visa/Immigration,Obtain SSN for Omer,Omer,Medium,Not Started,2026-05-15,Need EAD or SSN eligibility
Housing,Research neighborhoods in California,Omer,High,In Progress,2026-03-25,Focus on good school districts
Housing,Find temporary housing for first month,Maor,High,Not Started,2026-04-01,Airbnb or corporate housing
Housing,Sign long-term lease,Maor,High,Not Started,2026-05-01,After arriving and touring
Banking/Finance,Open US bank account,Maor,High,Not Started,2026-04-20,Chase or Bank of America
Banking/Finance,Get US credit card,Maor,Medium,Not Started,2026-05-01,Build credit history
Banking/Finance,Set up international money transfer,Maor,Medium,Not Started,2026-04-25,Wise or similar service
Healthcare,Research health insurance options,Omer,High,Not Started,2026-04-15,Through employer or marketplace
Healthcare,Find pediatrician for kids,Omer,High,Not Started,2026-05-01,Near new home
Healthcare,Transfer medical records,Omer,Medium,Not Started,2026-04-20,For all family members
Healthcare,Find dentist,Omer,Low,Not Started,2026-06-01,
Kids/School,Research elementary schools for Guy,Omer,High,In Progress,2026-03-30,1st grade - check enrollment deadlines
Kids/School,Find daycare/preschool for Dani,Omer,High,Not Started,2026-04-15,Age 2 programs
Kids/School,Gather school records for Guy,Omer,Medium,Not Started,2026-04-01,Translated to English
Shipping/Moving,Get quotes from international movers,Maor,High,In Progress,2026-03-20,Compare at least 3 companies
Shipping/Moving,Decide what to ship vs sell vs store,Maor,Medium,Not Started,2026-03-28,Make inventory list
Shipping/Moving,Book shipping container,Maor,High,Not Started,2026-04-05,After choosing mover
Shipping/Moving,Pack and prepare shipment,Omer,Medium,Not Started,2026-04-15,
Utilities,Set up US phone plan,Maor,Medium,Not Started,2026-04-20,T-Mobile or AT&T
Utilities,Cancel/transfer Israeli utilities,Omer,Low,Not Started,2026-04-10,Electric water internet
DMV/Driving,Research California driving license requirements,Maor,Medium,Not Started,2026-04-25,International license valid 10 days
DMV/Driving,Get international driving permit,Maor,Medium,Not Started,2026-03-30,Before departure
General,Book flights to California,Maor,High,Not Started,2026-04-01,One-way for family of 4
General,Notify Israeli authorities of move,Maor,Low,Not Started,2026-04-10,Tax authority and Bituach Leumi
General,Update address with important services,Omer,Low,Not Started,2026-05-01,Banks insurance etc
